iers_name,J2000_name,epoch,band,link,author
0002+541,J0005+5428,1994-08-12,S,http://astrogeo.org/images/J0005+5428/J0005+5428_S_1994_08_12_yyk_map.fits,yyk
0002+541,J0005+5428,1994-08-12,X,http://astrogeo.org/images/J0005+5428/J0005+5428_X_1994_08_12_yyk_map.fits,yyk
0002+541,J0005+5428,2006-06-11,K,http://astrogeo.org/images/J0005+5428/J0005+5428_K_2006_06_11_yyk_map.fits,yyk
0002+541,J0005+5428,2014-01-04,S,http://astrogeo.org/images/J0005+5428/J0005+5428_S_2014_01_04_pus_map.fits,pus
0002+541,J0005+5428,2014-01-04,X,http://astrogeo.org/images/J0005+5428/J0005+5428_X_2014_01_04_pus_map.fits,pus
0002+541,J0005+5428,2017-03-27,S,http://astrogeo.org/images/J0005+5428/J0005+5428_S_2017_03_27_pus_map.fits,pus
0002+541,J0005+5428,2017-03-27,X,http://astrogeo.org/images/J0005+5428/J0005+5428_X_2017_03_27_pus_map.fits,pus
0002+541,J0005+5428,2018-04-08,S,http://astrogeo.org/images/J0005+5428/J0005+5428_S_2018_04_08_pet_map.fits,pet
0002+541,J0005+5428,2018-04-08,X,http://astrogeo.org/images/J0005+5428/J0005+5428_X_2018_04_08_pet_map.fits,pet
0002-478,J0004-4736,2011-06-28,S,http://astrogeo.org/images/J0004-4736/J0004-4736_S_2011_06_28_pus_map.fits,pus
0002-478,J0004-4736,2011-06-28,X,http://astrogeo.org/images/J0004-4736/J0004-4736_X_2011_06_28_pus_map.fits,pus
0002-478,J0004-4736,2017-07-09,S,http://astrogeo.org/images/J0004-4736/J0004-4736_S_2017_07_09_pus_map.fits,pus
0002-478,J0004-4736,2017-07-09,X,http://astrogeo.org/images/J0004-4736/J0004-4736_X_2017_07_09_pus_map.fits,pus
0002-478,J0004-4736,2017-07-17,S,http://astrogeo.org/images/J0004-4736/J0004-4736_S_2017_07_17_pet_map.fits,pet
0002-478,J0004-4736,2017-07-17,X,http://astrogeo.org/images/J0004-4736/J0004-4736_X_2017_07_17_pet_map.fits,pet
0003+380,J0005+3820,1996-06-07,S,http://astrogeo.org/images/J0005+3820/J0005+3820_S_1996_06_07_yyk_map.fits,yyk
0003+380,J0005+3820,1996-06-07,X,http://astrogeo.org/images/J0005+3820/J0005+3820_X_1996_06_07_yyk_map.fits,yyk
0003+380,J0005+3820,1997-01-11,S,http://astrogeo.org/images/J0005+3820/J0005+3820_S_1997_01_11_pus_map.fits,pus
0003+380,J0005+3820,1997-01-11,X,http://astrogeo.org/images/J0005+3820/J0005+3820_X_1997_01_11_pus_map.fits,pus
0003+380,J0005+3820,2006-03-09,U,http://astrogeo.org/images/J0005+3820/J0005+3820_U_2006_03_09_moj_map.fits,moj
0003+380,J0005+3820,2006-12-01,U,http://astrogeo.org/images/J0005+3820/J0005+3820_U_2006_12_01_moj_map.fits,moj
0003+380,J0005+3820,2007-03-27,S,http://astrogeo.org/images/J0005+3820/J0005+3820_S_2007_03_27_pet_map.fits,pet
0003+380,J0005+3820,2007-03-27,X,http://astrogeo.org/images/J0005+3820/J0005+3820_X_2007_03_27_pet_map.fits,pet
0003+380,J0005+3820,2007-03-28,U,http://astrogeo.org/images/J0005+3820/J0005+3820_U_2007_03_28_moj_map.fits,moj
0003+380,J0005+3820,2007-08-24,U,http://astrogeo.org/images/J0005+3820/J0005+3820_U_2007_08_24_moj_map.fits,moj
0003+380,J0005+3820,2008-05-01,U,http://astrogeo.org/images/J0005+3820/J0005+3820_U_2008_05_01_moj_map.fits,moj
0003+380,J0005+3820,2008-07-17,U,http://astrogeo.org/images/J0005+3820/J0005+3820_U_2008_07_17_moj_map.fits,moj
0003+380,J0005+3820,2009-03-25,U,http://astrogeo.org/images/J0005+3820/J0005+3820_U_2009_03_25_moj_map.fits,moj
0003+380,J0005+3820,2009-05-13,S,http://astrogeo.org/images/J0005+3820/J0005+3820_S_2009_05_13_pus_map.fits,pus
0003+380,J0005+3820,2009-05-13,X,http://astrogeo.org/images/J0005+3820/J0005+3820_X_2009_05_13_pus_map.fits,pus
0003+380,J0005+3820,2010-07-12,U,http://astrogeo.org/images/J0005+3820/J0005+3820_U_2010_07_12_moj_map.fits,moj
0003+380,J0005+3820,2011-05-13,X,http://astrogeo.org/images/J0005+3820/J0005+3820_X_2011_05_13_pet_map.fits,pet
0003+380,J0005+3820,2011-06-06,U,http://astrogeo.org/images/J0005+3820/J0005+3820_U_2011_06_06_moj_map.fits,moj
0003+380,J0005+3820,2013-08-12,U,http://astrogeo.org/images/J0005+3820/J0005+3820_U_2013_08_12_moj_map.fits,moj
0003+380,J0005+3820,2018-07-05,S,http://astrogeo.org/images/J0005+3820/J0005+3820_S_2018_07_05_pet_map.fits,pet
0003+380,J0005+3820,2018-07-05,X,http://astrogeo.org/images/J0005+3820/J0005+3820_X_2018_07_05_pet_map.fits,pet
0003-066,J0006-0623,1995-07-28,U,http://astrogeo.org/images/J0006-0623/J0006-0623_U_1995_07_28_moj_map.fits,moj
0003-066,J0006-0623,1996-06-05,C,http://astrogeo.org/images/J0006-0623/J0006-0623_C_1996_06_05_gur_map.fits,gur
0003-066,J0006-0623,1996-10-27,U,http://astrogeo.org/images/J0006-0623/J0006-0623_U_1996_10_27_moj_map.fits,moj
