Experience,Date,Band,Source,"ICRF3 Cat.","Flux (Jy)","Structure index",Compactness,"Map Quality"
RDV78,2009-12-02,X-band,0727-115,D,7.4,1.89,0.82,3202.89
RDV64,2007-07-10,X-band,0727-115,D,7.11,1.83,0.77,20662.3
RDV77,2009-10-07,X-band,0727-115,D,7.1,1.51,0.76,
RDV79,2010-06-23,X-band,0727-115,D,6.93,1.95,0.74,
RDV76,2009-07-29,X-band,0727-115,D,6.82,1.41,0.79,8941.09
RDV63,2007-06-26,X-band,0727-115,D,6.58,1.51,0.91,
RDV75,2009-05-13,X-band,0727-115,D,6.42,1.6,0.77,
RV124,2017-07-17,X-band,0851+202,ND,6.11,1.83,0.86,5654.3
RV116,2016-02-09,X-band,0727-115,D,6.09,1.51,0.86,8802.73
RDV92,2012-04-18,X-band,0851+202,ND,6.05,2.23,0.68,5552.25
RDV71,2008-09-03,X-band,0727-115,D,5.71,1.56,0.64,
RDV69,2008-05-14,X-band,0727-115,D,5.65,2.54,0.86,
RDV82,2010-10-13,X-band,0727-115,D,5.62,1.68,0.69,6847.83
RDV84,2010-12-07,X-band,0851+202,ND,5.61,1.72,0.78,8119.93
RDV65,2007-08-01,X-band,0727-115,D,5.51,2.82,0.91,
RDV86,2011-04-05,X-band,0851+202,ND,5.5,1.95,0.75,4680.8
RDV68,2008-04-02,X-band,0727-115,D,5.37,1.83,0.73,4889.3
RV124,2017-07-17,X-band,0727-115,D,5.33,1.56,0.83,5796.95
RDV73,2009-01-21,X-band,0727-115,D,5.22,2.6,0.73,
RDV66,2007-12-05,X-band,0727-115,D,5.21,2.04,0.7,5561.16
RV110,2015-03-25,X-band,0727-115,D,5.18,1.68,0.85,6609.45
RDV67,2008-01-23,X-band,0727-115,D,5,1.29,0.86,
RDV90,2011-12-20,X-band,0851+202,ND,4.91,2.54,0.66,3331.74
RDV78,2009-12-02,X-band,0851+202,ND,4.64,1.92,0.88,3400.93
RV118,2016-07-06,X-band,0851+202,ND,4.27,2.09,0.78,4822.17
RDV45,2004-07-14,X-band,0727-115,D,4.22,2.23,0.61,
RDV42,2003-12-17,X-band,0727-115,D,4.17,2.48,0.49,2562.55
BR945,1994-07-08,X-band,0727-115,D,4.14,2.16,0.7,
RV102,2013-12-11,X-band,0727-115,D,4.1,1.64,0.84,6252.83
RDV92,2012-04-18,X-band,0727-115,D,4.03,1.86,0.76,7258.7
RDV51,2005-06-29,X-band,0727-115,D,4,2.38,0.71,4532.25
RDV59,2006-09-13,X-band,0727-115,D,3.86,2.2,0.59,
RV100,2013-07-24,X-band,0727-115,D,3.73,1.68,0.77,6730.33
RDV82,2010-10-13,X-band,0851+202,ND,3.71,1.98,0.74,5653.78
RDV79,2010-06-23,X-band,0851+202,ND,3.71,1.76,0.77,
RDV61,2007-01-24,X-band,0727-115,D,3.7,1.56,0.74,
RDV57,2006-07-11,X-band,0727-115,D,3.68,2.63,0.42,
RDV42,2003-12-17,X-band,0851+202,ND,3.66,2.01,0.81,5332.06
RDV94,2012-08-22,X-band,0727-115,D,3.62,1.86,0.73,6591.35
RDV31,2002-01-16,X-band,0727-115,D,3.61,1.46,0.74,
RDV26,2001-03-12,X-band,0727-115,D,3.59,1.89,0.79,3943.44
BL115C,2004-02-15,X-band,0851+202,ND,3.49,1.98,0.8,
RDV62,2007-03-27,X-band,0748+126,D,3.43,2.04,0.75,3842.53
RDV90,2011-12-20,X-band,0727-115,D,3.39,2.31,0.84,1789.95
BR9525,1995-04-12,X-band,0727-115,D,3.34,1.92,0.69,
RDV98,2013-04-10,X-band,0727-115,D,3.11,1.8,0.77,5039.34
RDV96,2012-12-05,X-band,0727-115,D,3.08,1.98,0.76,4294.53
RV106,2014-09-03,X-band,0851+202,ND,3.08,2.4,0.65,3684.7
RDV9,1998-06-24,X-band,0727-115,D,3.01,1.72,0.71,
RDV6,1997-12-17,X-band,0727-115,D,2.99,2.16,0.74,
RV112,2015-07-15,X-band,0851+202,ND,2.97,3.3,0.54,2330.17
RDV10,1998-08-10,X-band,0727-115,D,2.96,1.83,0.7,
RDV75,2009-05-13,X-band,0851+202,ND,2.95,2.48,0.71,
RDV96,2012-12-05,X-band,0851+202,ND,2.93,3.56,0.46,2865.51
RDV90,2011-12-20,X-band,0748+126,D,2.86,3.29,0.48,1606.51
RDV7,1998-02-09,X-band,0727-115,D,2.8,1.95,0.77,
RDV5,1997-09-08,X-band,0727-115,D,2.8,2.04,0.66,
RDV45,2004-07-14,X-band,0851+202,ND,2.8,1.98,0.7,
RDV12,1998-12-21,X-band,0727-115,D,2.76,1.76,0.68,
RDV8,1998-04-15,X-band,0727-115,D,2.74,1.8,0.71,
RDV59,2006-09-13,X-band,0748+126,D,2.69,1.6,0.68,
RDV57,2006-07-11,X-band,0851+202,ND,2.64,2.67,0.58,
RDV4,1997-07-24,X-band,0727-115,D,2.47,1.72,0.77,
RDV69,2008-05-14,X-band,0851+202,ND,2.47,2.5,0.57,
VABF12,1995-10-12,X-band,0727-115,D,2.46,2.01,0.74,
RDV20,2000-03-13,X-band,0727-115,D,2.41,2.18,0.72,5188.8
RDV57,2006-07-11,X-band,0834-201,D,2.41,2.36,0.62,
RDV2,1997-03-31,X-band,0727-115,D,2.39,2.09,0.71,
BL122B,2005-08-26,X-band,0748+126,D,2.38,1.89,0.81,
RDV70,2008-07-09,X-band,0851+202,ND,2.38,2.2,0.82,3307.56
RDV59,2006-09-13,X-band,0851+202,ND,2.33,1.8,0.61,
RDV3,1997-05-19,X-band,0727-115,D,2.19,1.76,0.75,
BL115C,2004-02-15,X-band,0743-006,D,2.13,1.51,0.53,
BL115C,2004-02-15,X-band,0748+126,D,2.13,1.72,0.82,
RDV71,2008-09-03,X-band,0851+202,ND,2.13,1.64,0.8,
RDV31,2002-01-16,X-band,0851+202,ND,2.11,3.53,0.57,
RDV1,1997-01-30,X-band,0727-115,D,2.09,2.04,0.7,
RDV8,1998-04-15,X-band,0851+202,ND,2.06,2.16,0.74,
RDV82,2010-10-13,X-band,0716+714,D,2.05,1.16,0.91,7345.01
RDV51,2005-06-29,X-band,0851+202,ND,2.05,2.4,0.73,3310.97
RDV26,2001-03-12,X-band,0851+202,ND,2.04,2.6,0.68,1788.08
RDV8,1998-04-15,X-band,0804+499,D,2.01,1,0.81,
RDV80,2010-08-04,X-band,0834-201,D,2,2.06,0.68,4424.71
RV104,2014-04-01,X-band,0834-201,D,1.98,2.25,0.68,3361.86
RDV61,2007-01-24,X-band,0834-201,D,1.96,2.27,0.46,
RDV68,2008-04-02,X-band,0851+202,ND,1.95,2.53,0.73,2316.22
BR945,1994-07-08,X-band,0851+202,ND,1.92,3.59,0.43,
RDV67,2008-01-23,X-band,0851+202,ND,1.92,2.38,0.57,
B9725B,1997-01-11,X-band,0748+126,D,1.91,2.16,0.85,
VABF12,1995-10-12,X-band,0743-006,D,1.9,2.27,0.53,
VABF12,1995-10-12,X-band,0851+202,ND,1.9,2.57,0.72,
RDV62,2007-03-27,X-band,0851+202,ND,1.88,2.63,0.62,2540.51
RDV66,2007-12-05,X-band,0851+202,ND,1.86,2.5,0.64,3668.31
B9725A,1997-01-10,X-band,0727-115,D,1.84,1.72,0.75,
RV112,2015-07-15,X-band,0834-201,D,1.84,2.4,0.53,2892.27
RDV9,1998-06-24,X-band,0851+202,ND,1.84,2.11,0.69,
RV108,2014-12-03,X-band,0716+714,D,1.83,1.64,0.86,2641.76
RDV84,2010-12-07,X-band,0834-201,D,1.81,2.38,0.56,3806.67
B9725B,1997-01-11,X-band,0727-115,D,1.76,1.83,0.8,
RDV73,2009-01-21,X-band,0851+202,ND,1.74,2.04,0.84,
RV110,2015-03-25,X-band,0834-201,D,1.73,2.5,0.6,2704.09
RDV10,1998-08-10,X-band,0851+202,ND,1.73,1.92,0.63,
RDV7,1998-02-09,X-band,0804+499,D,1.72,0.91,0.88,
RDV9,1998-06-24,X-band,0804+499,D,1.68,0.69,0.85,
RDV86,2011-04-05,X-band,0716+714,D,1.65,1.46,0.87,5109.19
RV110,2015-03-25,X-band,0716+714,D,1.64,2.04,0.8,3016.63
RDV20,2000-03-13,X-band,0851+202,ND,1.63,2.98,0.42,1720.72
RDV61,2007-01-24,X-band,0851+202,ND,1.63,2.06,0.67,
BL115C,2004-02-15,X-band,0754+100,ND,1.59,2.9,0.57,
RDV64,2007-07-10,X-band,0851+202,ND,1.59,2.82,0.61,2912.01
RDV63,2007-06-26,X-band,0851+202,ND,1.59,2.81,0.55,
RDV88,2011-08-02,X-band,0743-006,D,1.57,3.56,0.36,1358.49
RV106,2014-09-03,X-band,0823+033,ND,1.56,1.35,0.95,7742.3
RV118,2016-07-06,X-band,0834-201,D,1.56,2.6,0.63,3400.82
RDV7,1998-02-09,X-band,0851+202,ND,1.56,2.42,0.73,
RDV64,2007-07-10,X-band,0823+033,ND,1.55,2.36,0.75,3296.23
RDV72,2008-12-17,X-band,0851+202,ND,1.52,2.31,0.79,1945.88
RDV63,2007-06-26,X-band,0823+033,ND,1.51,2.43,0.79,
RDV12,1998-12-21,X-band,0823+033,ND,1.51,2.64,0.72,
RDV12,1998-12-21,X-band,0851+202,ND,1.51,2.54,0.55,
RV104,2014-04-01,X-band,0743-006,D,1.5,3.3,0.42,1563.89
RDV6,1997-12-17,X-band,0804+499,D,1.49,1.08,0.87,
RDV6,1997-12-17,X-band,0851+202,ND,1.49,2.34,0.7,
BR9525,1995-04-12,X-band,0851+202,ND,1.39,3.1,0.5,
RV120,2016-11-30,X-band,0834-201,D,1.38,2.67,0.51,2371.35
RDV65,2007-08-01,X-band,0823+033,ND,1.37,2.7,0.82,
RDV69,2008-05-14,X-band,0745+241,ND,1.36,1.64,0.72,
RDV4,1997-07-24,X-band,0851+202,ND,1.36,2.5,0.74,
RDV90,2011-12-20,X-band,0716+714,D,1.34,2.04,0.78,2878.56
RDV84,2010-12-07,X-band,0743-006,D,1.32,3.23,0.35,1865.76
B9725A,1997-01-10,X-band,0754+100,ND,1.32,2.57,0.61,
RV122,2017-04-25,X-band,0834-201,D,1.32,2.45,0.66,2651.95
RDV84,2010-12-07,X-band,0716+714,D,1.29,1.86,0.89,2474.89
B9725B,1997-01-11,X-band,0736+017,D,1.29,3.12,0.62,
RDV51,2005-06-29,X-band,0823+033,ND,1.29,2.38,0.83,3318.98
RV124,2017-07-17,X-band,0805+410,D,1.28,2.16,0.86,2613.04
RDV20,2000-03-13,X-band,0859-140,ND,1.28,3.81,0.26,1740.12
RV122,2017-04-25,X-band,0736+017,D,1.27,2.23,0.84,3052.05
RDV42,2003-12-17,X-band,0823+033,ND,1.26,3.02,0.55,1250.29
RDV26,2001-03-12,X-band,0748+126,D,1.25,3,0.57,1092.89
RDV20,2000-03-13,X-band,0754+100,ND,1.23,4.02,0.52,1485.19
RDV66,2007-12-05,X-band,0823+033,ND,1.23,2.48,0.71,2728.53
BL122B,2005-08-26,X-band,0838+133,ND,1.23,3.15,0.37,
RDV67,2008-01-23,X-band,0736+017,D,1.22,1.16,0.82,
RV114,2015-12-02,X-band,0808+019,D,1.22,2.16,0.87,3231.19
RDV62,2007-03-27,X-band,0823+033,ND,1.2,2.46,0.77,2814.49
BR9525,1995-04-12,X-band,0823+033,ND,1.2,2.91,0.56,
RDV10,1998-08-10,X-band,0804+499,D,1.18,1.23,0.83,
RDV66,2007-12-05,X-band,0736+017,D,1.17,2.7,0.64,2060.92
RDV2,1997-03-31,X-band,0851+202,ND,1.16,3.04,0.6,
RDV3,1997-05-19,X-band,0851+202,ND,1.16,2.42,0.66,
RDV4,1997-07-24,X-band,0823+033,ND,1.15,2.46,0.62,
RDV1,1997-01-30,X-band,0823+033,ND,1.14,3.27,0.56,
RDV1,1997-01-30,X-band,0851+202,ND,1.13,3.17,0.63,
RDV78,2009-12-02,X-band,0754+100,ND,1.12,2.6,0.72,1770.92
RDV2,1997-03-31,X-band,0823+033,ND,1.12,3.13,0.58,
RDV5,1997-09-08,X-band,0823+033,ND,1.12,3.14,0.64,
RDV77,2009-10-07,X-band,0827+243,ND,1.12,1.64,0.73,
B9725B,1997-01-11,X-band,0859-140,ND,1.12,3.55,0.45,
BL122B,2005-08-26,X-band,0754+100,ND,1.11,2.88,0.59,
BR9525,1995-04-12,X-band,0749+540,D,1.1,1.56,0.76,
BR9525,1995-04-12,X-band,0808+019,D,1.1,1.56,0.92,
BL115C,2004-02-15,X-band,0823+033,ND,1.1,2.51,0.63,
RDV8,1998-04-15,X-band,0821+394,ND,1.09,2.11,0.78,
RDV71,2008-09-03,X-band,0823+033,ND,1.09,3.23,0.68,
RDV26,2001-03-12,X-band,0823+033,ND,1.08,2.85,0.7,1362.13
