recno,LQAC,Flag,OName,Nature,RAOdeg,DEOdeg,Source,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,Plx,e_Plx,pmRA*,e_pmRA*,pmDE,e_pmDE,Ref,GAIA,z,Gmag2,BPmag,RPmag,umag_1,Bmag_1,Gmag1,Vmag,gmag_1,rmag_1,imag_1,zmag_1,Jmag,Kmag,W1mag,W2mag,W3mag,W4mag,S1_4,S2_3,S5_0,S8_4,S23,I1B,I2B,I3B,I1R,I2R,I3R,I1I,I2I,I3I,BMAG_1a,IMAG_1a,uMAG_1a,gMAG_1a,rMAG_1a,iMAG_1b,zMAG_1a,iers_name,source_id,Separation
114062,LQAC_045+001_005,3,PKS 0258+011,ICRF2,45.348362303,1.309999181,DR2,45.3483624203,1.3099989436,0.512,0.508,0.056,0.714,1.765,0.968,2.258,0.901,ABCD------KL-,DR12,1.221,19.593,20.061,18.98,,19.85,19.385,19.02,,18.73,18.52,,,,15.117,13.951,11.223,8.42,0.47,0.207,0.32,0.195,,,,,1.3,0.9,0.4,,,,-25.114,-25.578,,,,,,0258+011,239556096283136,9.531212260217929E-4
114689,LQAC_047+004_001,3,NGC 1218,ICRF2,47.109265845,4.110916892,DR2,47.1092672041,4.1109170138,0.355,0.379,0.347,0.538,-0.67,0.814,0.346,0.843,AB-------JKL-,DR12,0.0287,16.305,15.714,14.281,,9.4,16.072,18.86,,8.45,7.31,,12.634,11.144,9.134,9.092,8.114,6.446,2.573,0.541,3.554,0.494,,0.8,0.6,0.2,2.7,0.3,0.2,0.8,1.2,0.6,-26.828,-28.454,,,,,,0305+039,2673466818523904,0.004899715341964649
110124,LQAC_042+006_002,3,87GB 02466+0607,ICRF2,42.32506711,6.331096629,DR2,42.3250671986,6.3310963882,0.197,0.145,0.387,0.202,0.411,0.404,-0.15,0.33,ABCD-----JKL-,DR12,1.881,18.194,18.617,17.57,,18.86,18.088,18.15,,17.99,17.08,,16.923,15.791,14.7,13.688,10.912,8.331,0.343,0.871,0.646,0.6,,,,,,,,,,,-27.886,-28.325,,,,,,0246+061,6631188986915584,9.228816438924547E-4
113599,LQAC_044+005_005,3,87GB 02562+0529,ICRF2,44.71052642,5.685566359,DR2,44.7105263791,5.6855669617,0.331,0.346,-0.319,0.386,-0.065,0.798,0.311,0.798,ABCD------KL-,DR12,1.38,19.449,19.736,19.084,,19.79,19.499,18.71,,19.37,,,,,15.191,14.021,11.247,8.223,,0.255,0.241,0.211,,0.4,0.4,1.0,1.3,1.9,0.3,,,,-25.681,,,,,,,0256+054,6884282820204288,0.0021745251795828556
114082,LQAC_045+006_004,3,PKS 0258+058,ICRF2,45.390474645,6.040911777,DR2,45.3904745974,6.040911748,0.238,0.252,-0.015,0.315,0.017,0.479,-0.571,0.468,AB-D------KL-,DR12,2.313,18.649,18.718,18.211,,18.83,18.559,18.54,,18.9,17.89,,,,15.385,14.373,11.224,8.897,0.404,0.404,0.499,0.328,,0.2,0.5,0.0,1.3,0.6,0.1,0.2,0.3,0.1,-27.912,-27.839,,,,,,0258+058,6993551083342976,1.9972128107640394E-4
113757,LQAC_044+007_001,3,PKS 0256+075,ICRF2,44.862819261,7.794345264,DR2,44.8628192594,7.7943451437,0.123,0.102,-0.116,0.129,0.181,0.294,-0.119,0.248,ABCD----I-KL-,DR12,0.893,17.73,18.183,16.953,,21.36,17.643,18.0,,19.28,18.92,,,,13.959,12.909,9.871,7.294,0.93,0.614,0.78,0.43,,0.4,0.1,1.3,0.9,0.2,0.0,0.6,1.9,0.3,-23.771,-25.034,,,,,,0256+075,8527129285880704,4.329596396149995E-4
115480,LQAC_048+010_001,3,J0315+1012,ICRF2,48.838082498,10.211967635,DR2,48.8380829176,10.211966964,0.36,0.333,0.193,0.417,-0.831,0.884,0.632,0.714,AB-------JKL-,DR12,0.222,19.066,19.521,17.844,,19.78,18.857,18.27,,18.13,17.46,,15.881,14.17,13.345,12.433,9.916,7.508,,0.126,,0.128,,0.4,0.5,0.3,0.5,0.5,0.1,0.4,0.2,0.1,-22.462,-23.279,,,,,,0312+100,14586911528117248,0.0028365380902118753
114744,LQAC_047+010_001,3,PKS 0306+102,ICRF2,47.265097917,10.487872489,DR2,47.2650979173,10.4878724466,0.33,0.264,0.483,0.394,0.41,0.7,0.096,0.569,ABCD----IJKL-,DR12,0.863,19.023,19.43,18.083,18.05,18.45,19.103,18.0,,19.98,18.55,,17.213,15.186,12.422,11.291,8.146,5.742,0.5,0.393,1.02,0.631,,0.2,0.4,0.4,,,,,,,-26.274,-25.183,,,,,,0306+102,15495005053467776,1.525962910821004E-4
116027,LQAC_050+012_001,3,PKS 0319+12,ICRF2,50.471264618,12.353876035,DR2,50.4712646163,12.3538760023,0.268,0.216,0.048,0.291,0.21,0.635,-0.038,0.441,ABCD-----JKL-,DR2,2.662,18.697,19.329,17.863,,19.76,,18.67,,18.36,17.77,,16.503,15.379,14.658,13.652,10.074,7.555,1.74,1.48,1.1,0.698,,2.3,0.8,0.5,2.5,1.0,0.0,0.5,2.6,0.9,-30.19,-29.468,,,,,,0319+121,17475775250904960,1.1784279386525851E-4
105219,LQAC_039+005_001,3,87GB 02346+0513,ICRF2,39.308492302,5.447213666,DR2,39.3084918625,5.447213732,0.402,0.261,0.474,0.364,1.289,0.67,-0.206,0.482,ABCD-----JKL-,DR12,0.561,18.935,18.87,18.392,,18.87,18.648,18.49,,18.75,17.59,,17.491,15.597,14.459,13.44,10.927,8.405,0.173,0.194,0.191,0.129,,,,,,,,,,,-23.876,-24.733,,,,,,0234+052,18121326015612672,0.0015928913169424898
