0002-478 00 04 35.6579 -47 36 19.633 16.8 1997.4073  17  17 11  15  06  +23  -29  44  95 05 9.99 9.99 0.49  0.26  0.31  0.28 1.6 m
0003-066 00 06 13.8941 -06 23 35.314 17.9 2000.5827  38  38 10  17  05  +18  +20  18  31 03 3.26 2.80 0.00  0.00  0.00  0.00 0.6 m
0007+106 00 10 31.0071 +10 58 29.503 16.0 1998.1784  17  17 50  39  07  +18  -01  59  28 04 0.40 9.99 0.84  0.24  0.12  0.80 1.6 m
0007+171 00 10 33.9943 +17 24 18.674 17.2 2002.9021  41  41 42  38  10  +53  -87  33  80 10 4.16 1.08 0.65  0.19  0.61  0.10 0.6 m
0019+058 00 22 32.4493 +06 08 04.287 18.4 2001.8768  17  17 61  57  08 +120  +17  00  00 01 0.69 0.00 0.00  0.00  0.00  0.00 1.6 m
0047-579 00 49 59.4799 -57 38 27.374 17.2 1996.6557  49  50 25  24  06  +54  -34  62  30 04 9.99 9.99 0.78  0.12  0.76  0.12 1.6 m
0048-097 00 50 41.3121 -09 29 05.197 17.3 2000.5827  29  29 54  55  08  -77  +13  11  32 04 2.33 1.41 0.60  0.37  0.46  0.08 0.6 m
0056-572 00 58 46.5853 -56 59 11.461 18.0 1997.6667  27  27 44  32  06  +32  +09  65  06 03 9.99 9.99 0.90  0.78  0.41  0.18 0.6 m
0056-001 00 59 05.5160 +00 06 51.602 17.7 2000.9277  33  36 21  16  08  +14  -19  18  83 06 4.31 3.21 1.50  1.40  0.29  0.45 1.6 m
0104-408 01 06 45.1056 -40 34 19.933 18.7 1997.6668  72  73 57  56  12  -26  +26  00  00 01 0.56 0.40 0.93  0.87  0.32  0.01 0.6 m
0106+013 01 08 38.7702 +01 35 00.450 17.5 2000.5851  14  14 53  37  12  -12 +133  00  00 01 2.97 1.16 2.19  1.95  0.99  0.04 0.6 m
0109+224 01 12 05.8247 +22 44 38.828 15.4 1999.7964  82  79 60  42  08  +00  +41  14  63 03 1.35 0.81 0.00  0.00  0.00  0.00 0.6 m
