Experience,Date,Band,Source,ICRF3 Cat.,Flux (Jy),Structure index,Compactness,Map Quality
RDV45,2004-07-14 00:00:00.000,X-band,0003-066,ND,3.37,3.14,0.59,
RDV12,1998-12-21 00:00:00.000,X-band,0003-066,ND,2.76,2.51,0.63,
RDV42,2003-12-17 00:00:00.000,X-band,0003-066,ND,2.75,3.45,0.64,7112.67
RDV51,2005-06-29 00:00:00.000,X-band,0003-066,ND,2.51,3.86,0.5,643.43
RDV10,1998-08-10 00:00:00.000,X-band,0003-066,ND,2.38,2.57,0.58,
VABF12,1995-10-12 00:00:00.000,X-band,0003-066,ND,2.36,3.19,0.49,
RDV9,1998-06-24 00:00:00.000,X-band,0003-066,ND,2.36,2.48,0.58,
RDV8,1998-04-15 00:00:00.000,X-band,0003-066,ND,2.23,2.89,0.53,
RDV92,2012-04-18 00:00:00.000,X-band,0003-066,ND,2.14,3.19,0.43,3425.09
RDV63,2007-06-26 00:00:00.000,X-band,0003-066,ND,2.09,3.17,0.53,
RDV7,1998-02-09 00:00:00.000,X-band,0003-066,ND,2.08,2.88,0.53,
RDV6,1997-12-17 00:00:00.000,X-band,0003-066,ND,1.98,2.67,0.56,
RDV65,2007-08-01 00:00:00.000,X-band,0003-066,ND,1.91,3.93,0.4,
RDV5,1997-09-08 00:00:00.000,X-band,0003-066,ND,1.88,2.82,0.57,
RDV69,2008-05-14 00:00:00.000,X-band,0003-066,ND,1.87,3.35,0.49,
RDV4,1997-07-24 00:00:00.000,X-band,0003-066,ND,1.77,2.67,0.58,
RDV57,2006-07-11 00:00:00.000,X-band,0003-066,ND,1.75,3.61,0.43,
RDV67,2008-01-23 00:00:00.000,X-band,0003-066,ND,1.73,3.69,0.43,
RDV68,2008-04-02 00:00:00.000,X-band,0003-066,ND,1.7,3.46,0.46,1638.28
RDV1,1997-01-30 00:00:00.000,X-band,0003-066,ND,1.68,2.82,0.59,
RDV66,2007-12-05 00:00:00.000,X-band,0003-066,ND,1.67,3.32,0.5,1869.8
RDV2,1997-03-31 00:00:00.000,X-band,0003-066,ND,1.67,2.58,0.62,
BL122B,2005-08-26 00:00:00.000,X-band,0007+106,D,1.67,0.0,0.88,
RDV3,1997-05-19 00:00:00.000,X-band,0003-066,ND,1.64,2.65,0.57,
RDV31,2002-01-16 00:00:00.000,X-band,0003-066,ND,1.6,3.26,0.43,
RDV59,2006-09-13 00:00:00.000,X-band,0003-066,ND,1.45,3.37,0.68,
RDV61,2007-01-24 00:00:00.000,X-band,0003-066,ND,1.39,3.79,0.48,
RDV70,2008-07-09 00:00:00.000,X-band,0003-066,ND,1.37,3.78,0.48,1001.1
RDV80,2010-08-04 00:00:00.000,X-band,0007+106,D,0.98,1.46,0.87,4704.87
RDV59,2006-09-13 00:00:00.000,X-band,0007+106,D,0.73,2.29,0.59,
BL122B,2005-08-26 00:00:00.000,X-band,0009+081,ND,0.68,0.56,0.81,
RDV84,2010-12-07 00:00:00.000,X-band,0007+106,D,0.61,2.71,0.68,1798.31
RDV96,2012-12-05 00:00:00.000,X-band,0008-264,ND,0.56,2.73,0.75,1957.13
B9725B,1997-01-11 00:00:00.000,X-band,0003+380,ND,0.55,3.35,0.53,
RDV62,2007-03-27 00:00:00.000,X-band,0003+380,ND,0.55,3.41,0.37,1376.87
RDV70,2008-07-09 00:00:00.000,X-band,0008-264,ND,0.55,3.04,0.74,1214.81
RDV9,1998-06-24 00:00:00.000,X-band,0003+380,ND,0.54,3.4,0.4,
RDV77,2009-10-07 00:00:00.000,X-band,0007+106,D,0.53,0.91,0.93,
RDV84,2010-12-07 00:00:00.000,X-band,0008-264,ND,0.51,3.19,0.61,1315.14
RDV66,2007-12-05 00:00:00.000,X-band,0008-264,ND,0.5,2.94,0.84,1014.04
RDV12,1998-12-21 00:00:00.000,X-band,0013-005,D,0.47,1.89,0.66,
RV118,2016-07-06 00:00:00.000,X-band,0010-401,ND,0.46,2.48,0.71,2689.15
RDV75,2009-05-13 00:00:00.000,X-band,0003+380,ND,0.42,2.45,0.47,
RDV74,2009-04-21 00:00:00.000,X-band,0007+106,D,0.42,2.18,0.89,2441.94
RV116,2016-02-09 00:00:00.000,X-band,0002-478,D,0.37,3.03,0.88,256.3
RDV9,1998-06-24 00:00:00.000,X-band,0007+106,D,0.37,0.4,0.97,
B9725A,1997-01-10 00:00:00.000,X-band,0013-005,D,0.32,2.45,0.55,
RV112,2015-07-15 00:00:00.000,X-band,0002-478,D,0.29,3.38,0.81,799.51
RDV73,2009-01-21 00:00:00.000,X-band,0007+106,D,0.29,2.25,0.93,
RV108,2014-12-03 00:00:00.000,X-band,0007+106,D,0.28,2.43,0.89,
RDV98,2013-04-10 00:00:00.000,X-band,0002+541,ND,0.24,3.31,0.48,1260.6
RV124,2017-07-17 00:00:00.000,X-band,0002-478,D,0.2,3.1,0.86,539.01
RDV90,2011-12-20 00:00:00.000,X-band,0007+106,D,0.18,3.32,0.64,1044.32
RV118,2016-07-06 00:00:00.000,X-band,0016+731,D,2.5,1.56,0.75,3578.08
RV122,2017-04-25 00:00:00.000,X-band,0016+731,D,2.07,1.68,0.75,3330.56
RDV5,1997-09-08 00:00:00.000,X-band,0048-097,D,1.52,0.2,0.93,
RDV12,1998-12-21 00:00:00.000,X-band,0048-097,D,1.41,0.69,0.9,
BE10A,1996-04-23 00:00:00.000,X-band,0048-097,D,1.39,0.0,0.96,
