iers_name, epoch, link, flag
0002+541, 2014-01-04,http://astrogeo.org/images/J0005+5428/J0005+5428_X_2014_01_04_pus_map.fits, Y
0002-478, 2017-07-09, http://astrogeo.org/images/J0004-4736/J0004-4736_X_2017_07_09_pus_map.fits, N
0003+380, 2018-07-05, http://astrogeo.org/images/J0005+3820/J0005+3820_X_2018_07_05_pet_map.fits, N
0003-066, 2017-06-28, http://astrogeo.org/images/J0006-0623/J0006-0623_X_2017_06_28_pet_map.fits, N
0006+061, , , 
0007+106, 2014-08-05, http://astrogeo.org/images/J0010+1058/J0010+1058_X_2014_08_05_pus_map.fits, Y
0008-264, 2014-06-09, http://astrogeo.org/images/J0011-2612/J0011-2612_X_2014_06_09_pus_map.fits, Y 
0008-264, 2015-03-17, http://astrogeo.org/images/J0011-2612/J0011-2612_X_2015_03_17_xua_map.fits, Y
0009+081, 2017-08-05, http://astrogeo.org/images/J0011+0823/J0011+0823_X_2017_08_05_pus_map.fits, N
0010-401, 2014-08-09, http://astrogeo.org/images/J0012-3954/J0012-3954_X_2014_08_09_zb_map.fits, Y 
0013-005, 2017-03-27, http://astrogeo.org/images/J0016-0015/J0016-0015_X_2017_03_27_pus_map.fits, N
0016+731, 2014-05-31, http://astrogeo.org/images/J0019+7327/J0019+7327_X_2014_05_31_pus_map.fits, Y
0016+731, 2014-06-25, http://astrogeo.org/images/J0019+7327/J0019+7327_X_2014_06_25_pet_map.fits, Y
0016+731, 2014-08-09, http://astrogeo.org/images/J0019+7327/J0019+7327_X_2014_08_09_zb_map.fits, Y
0016+731, 2014-12-20, http://astrogeo.org/images/J0019+7327/J0019+7327_X_2014_12_20_pus_map.fits, Y
0017+200, 2016-07-06, http://astrogeo.org/images/J0019+2021/J0019+2021_X_2016_07_06_pet_map.fits, N
0017+257, 2014-05-31, http://astrogeo.org/images/J0019+2602/J0019+2602_X_2014_05_31_pus_map.fits, Y 
0019+058, 2014-08-05, http://astrogeo.org/images/J0022+0608/J0022+0608_X_2014_08_05_pus_map.fits, Y
0044+030, 2016-09-14, http://astrogeo.org/images/J0047+0319/J0047+0319_X_2016_09_14_pet_map.fits, N 
0047-579, , , 
0056-572, , ,
0100-760, , ,
0106+013, 2016-03-28, http://astrogeo.org/images/J0108+0135/J0108+0135_X_2016_03_28_cui_map.fits, N
0106+315, 2013-01-09, http://astrogeo.org/images/J0109+3149/J0109+3149_X_2013_01_09_pus_map.fits, N
0109+200, 2016-09-14, http://astrogeo.org/images/J0112+2020/J0112+2020_X_2016_09_14_pet_map.fits, N
0109+351, 2015-05-31, http://astrogeo.org/images/J0112+3522/J0112+3522_X_2014_05_31_pus_map.fits, Y
0110+495, 2015-03-17, http://astrogeo.org/images/J0113+4948/J0113+4948_X_2015_03_17_xua_map.fits, Y
0110+495, 2015-08-23, http://astrogeo.org/images/J0113+4948/J0113+4948_X_2015_08_23_pet_map.fits, Y
0112-017, 2002-03-06, http://astrogeo.org/images/J0115-0127/J0115-0127_X_2002_03_06_pus_map.fits, N
0113-118, 2016-03-28, http://astrogeo.org/images/J0116-1136/J0116-1136_X_2016_03_28_cui_map.fits, N 
0119+041, 2018-07-14, http://astrogeo.org/images/J0121+0422/J0121+0422_X_2018_07_14_pet_map.fits, N
0119+115, 2014-06-09, http://astrogeo.org/images/J0121+1149/J0121+1149_X_2014_06_09_pus_map.fits, Y 
0119+115, 2014-12-20, http://astrogeo.org/images/J0121+1149/J0121+1149_X_2014_12_20_pus_map.fits, Y 
0119+247, 2016-09-14, http://astrogeo.org/images/J0122+2502/J0122+2502_X_2016_09_14_pet_map.fits, N
0122-003, 2018-07-27, http://astrogeo.org/images/J0125-0005/J0125-0005_X_2018_07_27_pet_map.fits, N
0123+257, 1997-01-11, http://astrogeo.org/images/J0126+2559/J0126+2559_X_1997_01_11_pus_map.fits, N
0127_084, 2016-11-30, http://astrogeo.org/images/J0130+0842/J0130+0842_X_2016_11_30_pet_map.fits, N


