iers_name,class
0002+541,C1
0002-478,C2
0003+380,C2
0003-066,C1
0006+061,C1
0007+106,C1
0008-264,C1
0009+081,C1
0010-401,C1
0013-005,C2
0016+731,C1
0017+200,C1
0017+257,C1
0019+058,C1
0038-020,A
0044+030,C2
0047+023,A
0047-579,C2
0048-097,A
0055+060,A
0056-572,C2
0059+581,A
0100-760,C3
0104-408,A
0106+013,B1
0106+315,C2
0109+200,B2
0109+224,A
0109+351,C1
0110+495,B1
0111+021,A
0112-017,B2
0113-118,B1
0115-214,A
0119+041,B1
0119+115,B1
0119+247,C2
0122-003,C2
0123+257,B2
0127+084,B2
0133+476,A
0138-097,B1
0148-177,A
0149+218,B1
0159-668,C3
0201+113,A
0202+319,B2
0203-120,B2
0213-026,A
0219+428,B1
0220-349,B2
0221+067,A
0224+671,B2
0229+131,A
0234+285,A
0235+164,B1
0235-618,C2
0237+040,B2
0237-027,B1
0239+108,B1
0244-470,C2
0248-266,A
0252-549,C3
0256+192,A
0256-005,A
0300+470,B1
0302-623,C3
0306+102,B1
0309+411,A
0322+222,A
0322-294,C1
0326+277,B3
0332-403,A
0333+321,B2
0334-131,A
0336-019,A
0340+362,A
0345+460,A
0346+800,B1
0346-279,A
0350+465,B2
0358+040,B1
0358+210,B1
0400+258,B2
0402-362,A
0403-132,B1
0405-123,B1
0405-331,B2
0405-385,B2
0406+121,B2
0406-127,A
0409+229,B2
0414-189,B1
0420+022,B1
0420+417,B1
0420-014,B1
0422+004,A
0422-380,B2
0426+273,A
0426-380,B2
0430+052,B1
0430-332,B2
0434-188,B2
0436-129,A
0437-719,C3
0438-436,A
0442+389,B2
0446+112,A
0454-234,B1
0454-810,C2
0458-020,A
0459+135,C2
0502+049,B2
0506+056,A
0506+101,B1
0507+179,B2
0508+138,C2
0511-220,B2
0516-621,C3
0520-165,C1
0524+034,A
0528+134,A
0529+483,A
0530-727,C2
0534-340,A
0537-441,A
0539-543,C3
0548+084,A
0549-575,C3
0552+398,A
0601+245,B2
0602-424,A
0603+882,C1
0605-085,B1
0607-157,B1
0611+131,B2
0621+446,B2
0628+203,A
0629-418,B2
0639+352,B2
0639-032,B2
0641+392,B2
0642+449,A
0644-671,C3
0646-306,B1
0654+244,A
0656+082,A
0657+172,A
0700-197,A
0700-465,A
0707+476,A
0708+506,A
0716+714,A
0721-071,B2
0722+145,A
0723-008,B2
0725+219,B2
0727-115,A
0731+050,A
0735+178,B2
0736+017,B1
0742+263,B2
0742-562,C2
0743+259,B1
0743-006,A
0743-673,C2
0745+241,B1
0746+483,B2
0748+126,B1
0749+540,B1
0752+258,C2
0754+100,B2
0759+183,B2
0804+499,A
0805+410,B1
0805-077,B2
0808+019,A
0812+367,A
0814+425,B2
0820+560,B1
0821+394,B2
0823+033,A
0827+243,A
0834+250,A
0834-201,A
0838+133,B2
0838+456,B2
0839+187,B2
0841-607,C2
0843-547,C2
0845-051,C1
0847-120,A
0847-354,B1
0850+284,B2
0850+581,B2
0851+202,A
0854-108,B1
0859+470,B2
0859-140,B1
0906+015,B1
0906+163,A
0912+029,A
0917+449,B2
0917+624,B1
0918-534,C3
0925-203,A
0928+144,A
0933+503,B2
0936-069,B1
0938-133,C1
0941+522,A
0945+408,B2
0950+326,B2
0953+254,A
0955+326,A
0955+476,A
1005+066,A
1005-333,C2
1012+232,A
1013+127,B2
